"Gene.stable.ID"	"Gene.name"	"Gene.name.uniq"	"in.dataset"	"ZFIN.ID"	"Gene.description"
"16190"	"ENSDARG00000034650"	"fabp7b"	"fabp7b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040614-4\")"	"fatty acid binding protein 7, brain, b [Source:ZFIN;Acc:ZDB-GENE-040614-4]"
"16199"	"ENSDARG00000058179"	"ackr3b"	"ackr3b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-031116-61\")"	"atypical chemokine receptor 3b [Source:ZFIN;Acc:ZDB-GENE-031116-61]"
"16215"	"ENSDARG00000018146"	"gpx1a"	"gpx1a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030410-1\")"	"glutathione peroxidase 1a [Source:ZFIN;Acc:ZDB-GENE-030410-1]"
"16273"	"ENSDARG00000042027"	"prrx1b"	"prrx1b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-9033\")"	"paired related homeobox 1b [Source:ZFIN;Acc:ZDB-GENE-030131-9033]"
"16279"	"ENSDARG00000092875"	"BX537288.1"	"BX537288.1"	TRUE	"=HYPERLINK(\"https://zfin.org/\")"	""
"16285"	"ENSDARG00000102146"	"si:ch211-69b7.6"	"si:ch211-69b7.6"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-141212-266\")"	"si:ch211-69b7.6 [Source:ZFIN;Acc:ZDB-GENE-141212-266]"
"16290"	"ENSDARG00000055046"	"ponzr5"	"ponzr5"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-081104-325\")"	"plac8 onzin related protein 5 [Source:ZFIN;Acc:ZDB-GENE-081104-325]"
"16309"	"ENSDARG00000035560"	"capga"	"capga"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060531-6\")"	"capping protein (actin filament), gelsolin-like a [Source:ZFIN;Acc:ZDB-GENE-060531-6]"
"16321"	"ENSDARG00000027088"	"ptgdsb.1"	"ptgdsb.1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-8436\")"	"prostaglandin D2 synthase b, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030131-8436]"
"16323"	"ENSDARG00000070360"	"fam212aa"	"fam212aa"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060512-186\")"	"family with sequence similarity 212, member Aa [Source:ZFIN;Acc:ZDB-GENE-060512-186]"
"16334"	"ENSDARG00000007663"	"amph"	"amph"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1711\")"	"amphiphysin [Source:ZFIN;Acc:ZDB-GENE-040426-1711]"
"16356"	"ENSDARG00000054980"	"ebna1bp2"	"ebna1bp2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-6989\")"	"EBNA1 binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-030131-6989]"
"16361"	"ENSDARG00000071626"	"ptgdsb.2"	"ptgdsb.2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030911-3\")"	"prostaglandin D2 synthase b, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030911-3]"
"16370"	"ENSDARG00000101679"	"cfap52"	"cfap52"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050522-296\")"	"cilia and flagella associated protein 52 [Source:ZFIN;Acc:ZDB-GENE-050522-296]"
"16391"	"ENSDARG00000040695"	"fkbp14"	"fkbp14"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040801-210\")"	"FK506 binding protein 14 [Source:ZFIN;Acc:ZDB-GENE-040801-210]"
"16405"	"ENSDARG00000062788"	"irg1l"	"irg1l"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-061103-301\")"	"immunoresponsive gene 1, like [Source:ZFIN;Acc:ZDB-GENE-061103-301]"
"16422"	"ENSDARG00000016855"	"sf3b5"	"sf3b5"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040718-181\")"	"splicing factor 3b, subunit 5 [Source:ZFIN;Acc:ZDB-GENE-040718-181]"
"16431"	"ENSDARG00000071694"	"ndc80"	"ndc80"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-904\")"	"NDC80 kinetochore complex component [Source:ZFIN;Acc:ZDB-GENE-030131-904]"
"16432"	"ENSDARG00000092813"	"fndc7rs4"	"fndc7rs4"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070912-648\")"	"fibronectin type III domain containing 7, related sequence 4 [Source:ZFIN;Acc:ZDB-GENE-070912-648]"
"16434"	"ENSDARG00000019302"	"mid1ip1b"	"mid1ip1b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1720\")"	"MID1 interacting protein 1b [Source:ZFIN;Acc:ZDB-GENE-040426-1720]"
"16437"	"ENSDARG00000027529"	"hmox1a"	"hmox1a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-3102\")"	"heme oxygenase 1a [Source:ZFIN;Acc:ZDB-GENE-030131-3102]"
"16438"	"ENSDARG00000055192"	"zgc:136930"	"zgc:136930"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060312-16\")"	"zgc:136930 [Source:ZFIN;Acc:ZDB-GENE-060312-16]"
"16453"	"ENSDARG00000097176"	"BX927308.2"	"BX927308.2"	TRUE	"=HYPERLINK(\"https://zfin.org/\")"	""
"16469"	"ENSDARG00000019507"	"mcm5"	"mcm5"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-021209-1\")"	"minichromosome maintenance complex component 5 [Source:ZFIN;Acc:ZDB-GENE-021209-1]"
"16487"	"ENSDARG00000095615"	"si:dkeyp-86h10.3"	"si:dkeyp-86h10.3"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-100922-65\")"	"si:dkeyp-86h10.3 [Source:ZFIN;Acc:ZDB-GENE-100922-65]"
"16495"	"ENSDARG00000043416"	"tnfaip2a"	"tnfaip2a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041210-301\")"	"tumor necrosis factor, alpha-induced protein 2a [Source:ZFIN;Acc:ZDB-GENE-041210-301]"
"16514"	"ENSDARG00000058699"	"tmeff2b"	"tmeff2b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-101001-4\")"	"transmembrane protein with EGF-like and two follistatin-like domains 2b [Source:ZFIN;Acc:ZDB-GENE-101001-4]"
"16550"	"ENSDARG00000088140"	"hsd17b7"	"hsd17b7"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-061013-378\")"	"hydroxysteroid (17-beta) dehydrogenase 7 [Source:ZFIN;Acc:ZDB-GENE-061013-378]"
"16557"	"ENSDARG00000075800"	"calml4a"	"calml4a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-081022-9\")"	"calmodulin-like 4a [Source:ZFIN;Acc:ZDB-GENE-081022-9]"
"16558"	"ENSDARG00000041991"	"rrp9"	"rrp9"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060427-1\")"	"ribosomal RNA processing 9, small subunit (SSU) processome component, homolog (yeast) [Source:ZFIN;Acc:ZDB-GENE-060427-1]"
"16579"	"ENSDARG00000010586"	"tex9"	"tex9"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-110623-3\")"	"testis expressed 9 [Source:ZFIN;Acc:ZDB-GENE-110623-3]"
"16603"	"ENSDARG00000010250"	"nqo1"	"nqo1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-1226\")"	"NAD(P)H dehydrogenase, quinone 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1226]"
"16613"	"ENSDARG00000016238"	"arl6ip5b"	"arl6ip5b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040718-223\")"	"ADP-ribosylation factor-like 6 interacting protein 5b [Source:ZFIN;Acc:ZDB-GENE-040718-223]"
"16621"	"ENSDARG00000045705"	"meig1"	"meig1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050320-33\")"	"meiosis/spermiogenesis associated 1 [Source:ZFIN;Acc:ZDB-GENE-050320-33]"
"16626"	"ENSDARG00000101577"	"si:ch211-172l8.4"	"si:ch211-172l8.4"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-131127-224\")"	"si:ch211-172l8.4 [Source:ZFIN;Acc:ZDB-GENE-131127-224]"
"16636"	"ENSDARG00000043257"	"ckbb"	"ckbb"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-020103-2\")"	"creatine kinase, brain b [Source:ZFIN;Acc:ZDB-GENE-020103-2]"
"16678"	"ENSDARG00000104919"	"si:ch211-153b23.3"	"si:ch211-153b23.3"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-141216-408\")"	"si:ch211-153b23.3 [Source:ZFIN;Acc:ZDB-GENE-141216-408]"
"16681"	"ENSDARG00000103199"	"si:dkey-247k7.2"	"si:dkey-247k7.2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-031118-45\")"	"si:dkey-247k7.2 [Source:ZFIN;Acc:ZDB-GENE-031118-45]"
"16689"	"ENSDARG00000060457"	"pmp22b"	"pmp22b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060421-4337\")"	"peripheral myelin protein 22b [Source:ZFIN;Acc:ZDB-GENE-060421-4337]"
"16701"	"ENSDARG00000039729"	"asap1b"	"asap1b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-091112-16\")"	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 1b [Source:ZFIN;Acc:ZDB-GENE-091112-16]"
"16727"	"ENSDARG00000020107"	"usp2a"	"usp2a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041212-59\")"	"ubiquitin specific peptidase 2a [Source:ZFIN;Acc:ZDB-GENE-041212-59]"
"16738"	"ENSDARG00000096508"	"BX322618.1"	"BX322618.1"	TRUE	"=HYPERLINK(\"https://zfin.org/\")"	""
"16744"	"ENSDARG00000027749"	"hirip3"	"hirip3"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-5753\")"	"HIRA interacting protein 3 [Source:ZFIN;Acc:ZDB-GENE-030131-5753]"
"16755"	"ENSDARG00000045038"	"tekt3"	"tekt3"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080130-2\")"	"tektin 3 [Source:ZFIN;Acc:ZDB-GENE-080130-2]"
"16761"	"ENSDARG00000043137"	"cdca8"	"cdca8"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041114-171\")"	"cell division cycle associated 8 [Source:ZFIN;Acc:ZDB-GENE-041114-171]"
"16775"	"ENSDARG00000096616"	"si:ch211-255p10.3"	"si:ch211-255p10.3"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-121214-339\")"	"si:ch211-255p10.3 [Source:ZFIN;Acc:ZDB-GENE-121214-339]"
"16817"	"ENSDARG00000100573"	"ckap2l"	"ckap2l"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-6690\")"	"cytoskeleton associated protein 2-like [Source:ZFIN;Acc:ZDB-GENE-030131-6690]"
"16820"	"ENSDARG00000035859"	"angptl4"	"angptl4"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041111-222\")"	"angiopoietin-like 4 [Source:ZFIN;Acc:ZDB-GENE-041111-222]"
"16838"	"ENSDARG00000075014"	"sqstm1"	"sqstm1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2204\")"	"sequestosome 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2204]"
"16839"	"ENSDARG00000105458"	"si:dkeyp-81f3.4"	"si:dkeyp-81f3.4"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-160113-129\")"	"si:dkeyp-81f3.4 [Source:ZFIN;Acc:ZDB-GENE-160113-129]"
"16843"	"ENSDARG00000079110"	"cluap1"	"cluap1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1943\")"	"clusterin associated protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1943]"
"16849"	"ENSDARG00000088091"	"pfn1"	"pfn1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-031002-33\")"	"profilin 1 [Source:ZFIN;Acc:ZDB-GENE-031002-33]"
"16858"	"ENSDARG00000011262"	"traip"	"traip"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040801-30\")"	"TRAF-interacting protein [Source:ZFIN;Acc:ZDB-GENE-040801-30]"
"16861"	"ENSDARG00000089769"	"hapln1a"	"hapln1a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050302-175\")"	"hyaluronan and proteoglycan link protein 1a [Source:ZFIN;Acc:ZDB-GENE-050302-175]"
"16867"	"ENSDARG00000015266"	"mab21l2"	"mab21l2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-011101-3\")"	"mab-21-like 2 [Source:ZFIN;Acc:ZDB-GENE-011101-3]"
"16872"	"ENSDARG00000058968"	"haus1"	"haus1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-091204-387\")"	"HAUS augmin-like complex, subunit 1 [Source:ZFIN;Acc:ZDB-GENE-091204-387]"
"16873"	"ENSDARG00000090444"	"ponzr1"	"ponzr1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070727-1\")"	"plac8 onzin related protein 1 [Source:ZFIN;Acc:ZDB-GENE-070727-1]"
"16881"	"ENSDARG00000033285"	"gsto2"	"gsto2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041114-67\")"	"glutathione S-transferase omega 2 [Source:ZFIN;Acc:ZDB-GENE-041114-67]"
"16882"	"ENSDARG00000075745"	"ovgp1"	"ovgp1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-140106-118\")"	"oviductal glycoprotein 1 [Source:ZFIN;Acc:ZDB-GENE-140106-118]"
"16904"	"ENSDARG00000105479"	"si:ch211-126c2.4"	"si:ch211-126c2.4"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-3087\")"	"si:ch211-126c2.4 [Source:ZFIN;Acc:ZDB-GENE-030131-3087]"
"16906"	"ENSDARG00000054255"	"tctex1d2"	"tctex1d2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-081104-219\")"	"Tctex1 domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-081104-219]"
"16921"	"ENSDARG00000089823"	"hist1h4l"	"hist1h4l*9"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070424-79\")"	"histone 1, H4, like [Source:ZFIN;Acc:ZDB-GENE-070927-10]"
"16922"	"ENSDARG00000074071"	"zgc:123335"	"zgc:123335"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-051113-228\")"	"zgc:123335 [Source:ZFIN;Acc:ZDB-GENE-051113-228]"
"16924"	"ENSDARG00000010008"	"vim"	"vim"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-011212-3\")"	"vimentin [Source:ZFIN;Acc:ZDB-GENE-011212-3]"
"16927"	"ENSDARG00000070479"	"tspan13b"	"tspan13b"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041010-45\")"	"tetraspanin 13b [Source:ZFIN;Acc:ZDB-GENE-041010-45]"
"16948"	"ENSDARG00000074796"	"dbf4"	"dbf4"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-091020-13\")"	"DBF4 zinc finger [Source:ZFIN;Acc:ZDB-GENE-091020-13]"
"16949"	"ENSDARG00000053217"	"cox7a2a"	"cox7a2a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050522-153\")"	"cytochrome c oxidase subunit VIIa polypeptide 2a (liver) [Source:ZFIN;Acc:ZDB-GENE-050522-153]"
"16964"	"ENSDARG00000093841"	"si:ch211-12h2.6"	"si:ch211-12h2.6"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-091117-31\")"	"si:ch211-12h2.6 [Source:ZFIN;Acc:ZDB-GENE-091117-31]"
"17002"	"ENSDARG00000088932"	"si:dkey-240e12.6"	"si:dkey-240e12.6"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050208-367\")"	"si:dkey-240e12.6 [Source:ZFIN;Acc:ZDB-GENE-050208-367]"
"17027"	"ENSDARG00000026165"	"col11a1a"	"col11a1a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070209-167\")"	"collagen, type XI, alpha 1a [Source:ZFIN;Acc:ZDB-GENE-070209-167]"
"17036"	"ENSDARG00000012684"	"atp2b1a"	"atp2b1a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030925-29\")"	"ATPase, Ca++ transporting, plasma membrane 1a [Source:ZFIN;Acc:ZDB-GENE-030925-29]"
"17040"	"ENSDARG00000070480"	"agr2"	"agr2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050417-214\")"	"anterior gradient 2 [Source:ZFIN;Acc:ZDB-GENE-050417-214]"
"17051"	"ENSDARG00000018953"	"gclm"	"gclm"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-5906\")"	"glutamate-cysteine ligase, modifier subunit [Source:ZFIN;Acc:ZDB-GENE-030131-5906]"
"17052"	"ENSDARG00000042920"	"sult3st3"	"sult3st3*1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060503-628\")"	"sulfotransferase family 3, cytosolic sulfotransferase 3 [Source:ZFIN;Acc:ZDB-GENE-060503-628]"
"17085"	"ENSDARG00000018022"	"msh2"	"msh2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-2932\")"	"mutS homolog 2 (E. coli) [Source:ZFIN;Acc:ZDB-GENE-040426-2932]"
"17091"	"ENSDARG00000045139"	"ca7"	"ca7"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1786\")"	"carbonic anhydrase VII [Source:ZFIN;Acc:ZDB-GENE-040426-1786]"
"17100"	"ENSDARG00000037746"	"actb1"	"actb1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-000329-1\")"	"actin, beta 1 [Source:ZFIN;Acc:ZDB-GENE-000329-1]"
"17114"	"ENSDARG00000055294"	"atoh1a"	"atoh1a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-990415-17\")"	"atonal bHLH transcription factor 1a [Source:ZFIN;Acc:ZDB-GENE-990415-17]"
"17123"	"ENSDARG00000093492"	"CR677617.1"	"CR677617.1"	TRUE	"=HYPERLINK(\"https://zfin.org/\")"	""
"17126"	"ENSDARG00000077169"	"si:ch211-153b23.4"	"si:ch211-153b23.4"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-7332\")"	"si:ch211-153b23.4 [Source:ZFIN;Acc:ZDB-GENE-030131-7332]"
"17144"	"ENSDARG00000099923"	"zgc:154054"	"zgc:154054"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-061103-283\")"	"zgc:154054 [Source:ZFIN;Acc:ZDB-GENE-061103-283]"
"17157"	"ENSDARG00000105562"	"si:dkey-23i12.7"	"si:dkey-23i12.7"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-160728-52\")"	"si:dkey-23i12.7 [Source:ZFIN;Acc:ZDB-GENE-160728-52]"
"17172"	"ENSDARG00000092460"	"si:dkey-229d2.7"	"si:dkey-229d2.7"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-060526-265\")"	"si:dkey-229d2.7 [Source:ZFIN;Acc:ZDB-GENE-060526-265]"
"17200"	"ENSDARG00000037639"	"nkx3.2"	"nkx3.2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030127-1\")"	"NK3 homeobox 2 [Source:ZFIN;Acc:ZDB-GENE-030127-1]"
"17201"	"ENSDARG00000075866"	"cdcp2"	"cdcp2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070705-485\")"	"CUB domain containing protein 2 [Source:ZFIN;Acc:ZDB-GENE-070705-485]"
"17211"	"ENSDARG00000090268"	"krtt1c19e"	"krtt1c19e"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050506-95\")"	"keratin type 1 c19e [Source:ZFIN;Acc:ZDB-GENE-050506-95]"
"17215"	"ENSDARG00000070229"	"zgc:158258"	"zgc:158258"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070112-2272\")"	"zgc:158258 [Source:ZFIN;Acc:ZDB-GENE-070112-2272]"
"17224"	"ENSDARG00000070046"	"eny2"	"eny2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040718-124\")"	"enhancer of yellow 2 homolog (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-040718-124]"
"17245"	"ENSDARG00000006859"	"nkain1"	"nkain1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1472\")"	"sodium/potassium transporting ATPase interacting 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1472]"
"17252"	"ENSDARG00000097536"	"CR848844.1"	"CR848844.1"	TRUE	"=HYPERLINK(\"https://zfin.org/\")"	""
"17273"	"ENSDARG00000055158"	"prox1a"	"prox1a"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-980526-397\")"	"prospero homeobox 1a [Source:ZFIN;Acc:ZDB-GENE-980526-397]"
"17277"	"ENSDARG00000021647"	"gnai1"	"gnai1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1310\")"	"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1310]"
"17290"	"ENSDARG00000040277"	"fbxo32"	"fbxo32"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1040\")"	"F-box protein 32 [Source:ZFIN;Acc:ZDB-GENE-040426-1040]"
"17307"	"ENSDARG00000044125"	"txn"	"txn"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040718-162\")"	"thioredoxin [Source:ZFIN;Acc:ZDB-GENE-040718-162]"
"17338"	"ENSDARG00000057632"	"ppp1r42"	"ppp1r42"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040704-43\")"	"protein phosphatase 1, regulatory subunit 42 [Source:ZFIN;Acc:ZDB-GENE-040704-43]"
"17344"	"ENSDARG00000042630"	"hebp2"	"hebp2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-914\")"	"heme binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-040426-914]"
"17353"	"ENSDARG00000045066"	"entpd1"	"entpd1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040801-58\")"	"ectonucleoside triphosphate diphosphohydrolase 1 [Source:ZFIN;Acc:ZDB-GENE-040801-58]"
"17368"	"ENSDARG00000038428"	"sulf1"	"sulf1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-9242\")"	"sulfatase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-9242]"
"17372"	"ENSDARG00000035858"	"cnn2"	"cnn2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030131-542\")"	"calponin 2 [Source:ZFIN;Acc:ZDB-GENE-030131-542]"
"17382"	"ENSDARG00000076933"	"aldh1a3"	"aldh1a3"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-061128-2\")"	"aldehyde dehydrogenase 1 family, member A3 [Source:ZFIN;Acc:ZDB-GENE-061128-2]"
"17428"	"ENSDARG00000070538"	"hey1"	"hey1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-000607-70\")"	"hes-related family bHLH transcription factor with YRPW motif 1 [Source:ZFIN;Acc:ZDB-GENE-000607-70]"
"17444"	"ENSDARG00000097013"	"BX649300.1"	"BX649300.1"	TRUE	"=HYPERLINK(\"https://zfin.org/\")"	""
"17467"	"ENSDARG00000099667"	"snrpg"	"snrpg"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040912-105\")"	"small nuclear ribonucleoprotein polypeptide G [Source:ZFIN;Acc:ZDB-GENE-040912-105]"
"17481"	"ENSDARG00000018478"	"agxtb"	"agxtb"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-010302-3\")"	"alanine-glyoxylate aminotransferase b [Source:ZFIN;Acc:ZDB-GENE-010302-3]"
"17483"	"ENSDARG00000071336"	"mif"	"mif"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-080708-1\")"	"macrophage migration inhibitory factor [Source:ZFIN;Acc:ZDB-GENE-080708-1]"
"17514"	"ENSDARG00000033175"	"snrpe"	"snrpe"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040426-1112\")"	"small nuclear ribonucleoprotein polypeptide E [Source:ZFIN;Acc:ZDB-GENE-040426-1112]"
"17521"	"ENSDARG00000060035"	"rnf32"	"rnf32"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-061013-39\")"	"ring finger protein 32 [Source:ZFIN;Acc:ZDB-GENE-061013-39]"
"17534"	"ENSDARG00000061634"	"aifm4"	"aifm4"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-070112-2282\")"	"apoptosis-inducing factor, mitochondrion-associated, 4 [Source:ZFIN;Acc:ZDB-GENE-070112-2282]"
"17538"	"ENSDARG00000006215"	"akr1b1"	"akr1b1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-040625-7\")"	"aldo-keto reductase family 1, member B1 (aldose reductase) [Source:ZFIN;Acc:ZDB-GENE-040625-7]"
"17552"	"ENSDARG00000037188"	"rpa2"	"rpa2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-010131-3\")"	"replication protein A2 [Source:ZFIN;Acc:ZDB-GENE-010131-3]"
"17603"	"ENSDARG00000074425"	"si:busm1-57f23.1"	"si:busm1-57f23.1"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-030616-512\")"	"si:busm1-57f23.1 [Source:ZFIN;Acc:ZDB-GENE-030616-512]"
"17606"	"ENSDARG00000093677"	"si:ch211-56a11.2"	"si:ch211-56a11.2"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-091204-123\")"	"si:ch211-56a11.2 [Source:ZFIN;Acc:ZDB-GENE-091204-123]"
"17653"	"ENSDARG00000013613"	"anxa13l"	"anxa13l"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-050522-310\")"	"annexin A13, like [Source:ZFIN;Acc:ZDB-GENE-050522-310]"
"17684"	"ENSDARG00000077245"	"si:dkey-225n22.4"	"si:dkey-225n22.4"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-120709-30\")"	"si:dkey-225n22.4 [Source:ZFIN;Acc:ZDB-GENE-120709-30]"
"17687"	"ENSDARG00000056913"	"pcolcea"	"pcolcea"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-041014-370\")"	"procollagen C-endopeptidase enhancer a [Source:ZFIN;Acc:ZDB-GENE-041014-370]"
"17694"	"ENSDARG00000103492"	"si:ch73-111k22.3"	"si:ch73-111k22.3"	TRUE	"=HYPERLINK(\"https://zfin.org/ZDB-GENE-141212-371\")"	"si:ch73-111k22.3 [Source:ZFIN;Acc:ZDB-GENE-141212-371]"
